effective_targets,bce_nats_per_pixel,optimizer_steps
15506,0.7290561163823681,1
255373,0.6802074192930718,10
479079,0.6044915340278756,20
720731,0.5562346001227042,30
990474,0.5199555855344692,40
1218526,0.4845380459105367,50
1485026,0.45068027981209297,60
1785044,0.42172372626345694,70
2066405,0.3951503561789016,80
2370844,0.3761115364185564,90
2666772,0.3635114063445127,100
2904280,0.3529178812241397,110
3154325,0.3478799528760747,120
3429739,0.3418584375213299,130
3699971,0.339504258286301,140
3927176,0.33752672680888934,150
4211052,0.33597824139829136,160
4472939,0.3347781179017275,170
4753915,0.3331059298350472,180
5012901,0.33222228246377716,190
5298531,0.3308736928745493,200
5585177,0.3303594267107589,210
5821482,0.32954003053446723,220
6114233,0.32878425200273764,230
6367125,0.32899021489619296,240
6685684,0.3278687112569404,250
6973314,0.32594686649152593,260
7205147,0.32655112759421473,270
7461844,0.32374140293270465,280
7702923,0.32271030423630725,290
7986776,0.3218567306235508,300
8271405,0.3216036962620397,310
8533524,0.3225816240565848,320
8784084,0.3202794680360973,330
9067759,0.3197360995273952,340
9379245,0.3201347655069971,350
9649984,0.31879670359743734,360
9955116,0.31821083246931947,370
10213569,0.3189420707015481,380
10479863,0.3170263128213518,390
10735595,0.3183693656417957,400
11015730,0.31580516807220504,410
11254760,0.3131187332829348,420
11534000,0.3146097210444058,430
11809485,0.3132148896287752,440
12150697,0.31294476964746304,450
12459249,0.31329648089239365,460
12740803,0.31365023651605556,470
12973799,0.31030594125430716,480
13244624,0.312853391735763,490
13565785,0.3121338775833938,500
13834939,0.3101237208823864,510
14145485,0.30978662470822793,520
14393258,0.30917229962307846,530
14663072,0.31000794290746325,540
14910078,0.3094160465561334,550
15148638,0.310062093285994,560
15405715,0.3042942333759858,570
15673642,0.30694224617697974,580
15942283,0.30480619158063615,590
16200296,0.30616555146545665,600
16498288,0.3060261690163914,610
16797793,0.30646162197546933,620
17085028,0.30769013611644186,630
17375635,0.3038544258080634,640
17623293,0.30206335428127223,650
17887515,0.3033386328125,660
18150567,0.30314842172115625,670
18445500,0.3056394760723325,680
18668869,0.3035241472053858,690
18985795,0.3078656017595924,700
19245206,0.3017034179887595,710
19534599,0.30155961822869737,720
19879857,0.30239593661105263,730
20134681,0.30264482492197287,740
20438458,0.3017959493627718,750
20706585,0.3011219858532943,760
20969870,0.30147127574018306,770
21276712,0.3006297083682944,780
21541998,0.3017619448925962,790
21822212,0.2999538858103198,800
22048339,0.2984734724442658,810
22274970,0.2992040521934159,820
22558170,0.30003763501278125,830
22828146,0.2980041396010373,840
23088374,0.2983736346291544,850
23339053,0.2994346627493713,860
23590267,0.2989545783817488,870
23869353,0.29760778935276877,880
24143388,0.2962682828108677,890
24407447,0.2939595786437335,900
24693313,0.2941468487329068,910
24928647,0.29939681859335965,920
25192471,0.29787084830655364,930
25466274,0.298683816917065,940
25707195,0.29625519060681443,950
25968179,0.29808749053280215,960
26261830,0.29820251413068144,970
26519702,0.29444959230986945,980
26766237,0.29533102441048964,990
27064465,0.29442791159987336,1000
27355463,0.2976417569007131,1010
27643867,0.2956632640420487,1020
27912719,0.29460771090877963,1030
28158548,0.29579651014093855,1040
28458557,0.2928106420016645,1050
28749651,0.29199787334569244,1060
29018636,0.2923438730009115,1070
29262972,0.29603848905644864,1080
29565050,0.29158350924255766,1090
29815084,0.29268621438542786,1100
30058398,0.2924143101395693,1110
30325660,0.2911077369233592,1120
30594526,0.29158340819712525,1130
30841605,0.29033037730931965,1140
31113072,0.2912148322744594,1150
31408093,0.2912372670876472,1160
31693866,0.29288285375259054,1170
31919936,0.28956183506641403,1180
32200249,0.2893742373700558,1190
32471384,0.2906819151471394,1200
32753058,0.29139824233354816,1210
33024150,0.2922316271343816,1220
33304431,0.2896832354346335,1230
33565231,0.2899526923438602,1240
33812963,0.2887989476443468,1250
34102305,0.2846375531443414,1260
34426383,0.2910438598164982,1270
34705237,0.2866713647025067,1280
34967176,0.28958007959648646,1290
35187281,0.2892856917842742,1300
35473110,0.29227997680055817,1310
35723898,0.289215449800305,1320
36001996,0.288230649540395,1330
36285399,0.28839850472738704,1340
36569553,0.28693734485514144,1350
36832288,0.2886007701939865,1360
37114156,0.2903438536613196,1370
37411805,0.2861431858616558,1380
37668103,0.29408314534309815,1390
37954641,0.2892877909026246,1400
38253967,0.285312471461026,1410
38557991,0.28492424862364335,1420
38805369,0.28654041842157457,1430
39089437,0.28843532513577325,1440
39356138,0.28453800276033675,1450
39622245,0.2812896550068094,1460
39865210,0.28296613454359343,1470
40097797,0.28507178167608654,1480
40333858,0.2865903688585939,1490
40699551,0.2865741199450154,1500
40950427,0.2897457373508607,1510
41215787,0.28152388644076043,1520
41443507,0.2854422784028922,1530
41734458,0.2861840823540699,1540
42046042,0.282111637127257,1550
42294242,0.28288993722921274,1560
42534202,0.2813469458167506,1570
42823083,0.2803922985396008,1580
43058286,0.28123440059507787,1590
43360824,0.285970614499715,1600
43632878,0.2843724422797916,1610
43951042,0.2816901316647984,1620
44216677,0.28322240620689565,1630
44452404,0.27724932877651653,1640
44706114,0.28435998768899456,1650
45005355,0.28017318748166176,1660
45231208,0.284864001692913,1670
45526235,0.2808502986270415,1680
45810265,0.2801527965220242,1690
46069334,0.2852184704016145,1700
46372700,0.2845270027561547,1710
46691858,0.2795032493742238,1720
46951629,0.27946216096447735,1730
47275428,0.2835406611579246,1740
47553184,0.28201817603799073,1750
47862257,0.28002454095781004,1760
48155983,0.2806745851356503,1770
48440357,0.2787423223336964,1780
48774957,0.27876569707445753,1790
49011201,0.28140654178917673,1800
49276907,0.2794692375206873,1810
49564770,0.27991163551917136,1820
49885458,0.27980030540876244,1830
50286459,0.2775304778316035,1840
50538758,0.27887169068522993,1850
50819146,0.27781852141995417,1860
51033368,0.28165375525210085,1870
51279254,0.28203320993411246,1880
51656996,0.2776019955134025,1890
51945442,0.27959715096324667,1900
52261095,0.27809038096602917,1910
52497475,0.27518007692848634,1920
52757188,0.2824641402049731,1930
53039450,0.27604854476217744,1940
53343226,0.27899884802149977,1950
53669773,0.2778533736466043,1960
53979303,0.27635460439379184,1970
54220635,0.2795525371957139,1980
54470210,0.27792093931686046,1990
54713611,0.27967054282275977,2000
54975622,0.2782960068950051,2010
55292283,0.2773672747045708,2020
55623777,0.2737925604095252,2030
55909253,0.28116064858424505,2040
56185460,0.2776978685721138,2050
56418350,0.2777631617799121,2060
56681649,0.27741501535893204,2070
57024025,0.2796182216520773,2080
57319764,0.27849268438510477,2090
57647018,0.27558069915109307,2100
57890959,0.2779543237986212,2110
58148726,0.2755119296490519,2120
58368961,0.27589037466385435,2130
58657909,0.2754301471117776,2140
58940718,0.2777694907848706,2150
59244084,0.27497696674539635,2160
59505408,0.27589181401281376,2170
59795261,0.2732933929382714,2180
60034668,0.2761146998919214,2190
60356922,0.27648728689382457,2200
60603792,0.2761780564695834,2210
60866680,0.2734552618338085,2220
61117097,0.2759957732601126,2230
61400509,0.2742245393202273,2240
61677220,0.27591451540594525,2250
61902250,0.274225740466438,2260
62196872,0.27591877884138705,2270
62467685,0.27595730383663525,2280
62716439,0.2756256867033501,2290
62982477,0.2782434883854325,2300
63256777,0.27519807846827365,2310
63558666,0.2744809281040668,2320
63820527,0.27254594989616104,2330
64106273,0.2757743215919899,2340
64371981,0.2717654670824845,2350
64653568,0.2741883869292592,2360
64925767,0.2707875952395024,2370
65217020,0.2749708460952837,2380
65510557,0.27435586372370036,2390
65780421,0.273729331225541,2400
66039448,0.27625346075726553,2410
66277289,0.2698660159436824,2420
66517376,0.2736100664098163,2430
66741042,0.27650886231669636,2440
67028452,0.27800542334846606,2450
67323661,0.2754844030848895,2460
67586458,0.2720605047860078,2470
67895149,0.27277821300275273,2480
68196312,0.2728774608961968,2490
68457826,0.2736417697410891,2500
68756843,0.2714013183306357,2510
69071580,0.2714284628756787,2520
69326982,0.2715203314839579,2530
69594491,0.27313631165204805,2540
69881480,0.27209028538649643,2550
70162315,0.2714646249051548,2560
70468845,0.27395474787450036,2570
70741253,0.2730571826006551,2580
70998174,0.27005262831742227,2590
71272459,0.2745981795591522,2600
71553045,0.2750011722801716,2610
71800970,0.27498577721721096,2620
72015421,0.27042615301847406,2630
72328315,0.27257429124523586,2640
72583320,0.2725861951431298,2650
72871793,0.26974404558046017,2660
73101332,0.2714128460143712,2670
73352664,0.2699079168691455,2680
73649329,0.26889901024486845,2690
73912593,0.27130740142384274,2700
74162107,0.272532529673744,2710
74397747,0.27487138540391676,2720
74659549,0.27519484075476686,2730
74909401,0.2686854732052649,2740
75188546,0.273444692287339,2750
75451959,0.27692992751226947,2760
75747900,0.2736433779660548,2770
76010277,0.2707861606791993,2780
76294696,0.2751935469891749,2790
76539878,0.26997768905256586,2800
76829011,0.27347624183089775,2810
77049884,0.2706464578971446,2820
77329790,0.27289574468199,2830
77646050,0.26973338886128306,2840
77928392,0.27112203138508395,2850
78173361,0.27132971606611395,2860
78412963,0.2695151542902965,2870
78701789,0.2723940743512657,2880
78943649,0.27073384511689574,2890
79188941,0.2713372393201799,2900
79464909,0.2707748728647572,2910
79703643,0.27453478218767946,2920
79946757,0.26865692147226444,2930
80195054,0.27196607273413276,2940
80451722,0.2736533651465498,2950
80734056,0.26971368592497885,2960
81011230,0.27128733615972134,2970
81254119,0.26963771553052085,2980
81568331,0.27083688521829463,2990
81831533,0.26923400777952644,3000
82109085,0.27016593493237123,3010
82364634,0.2737063668826858,3020
82634866,0.2689098296879346,3030
82908412,0.27134114456412256,3040
83202539,0.27108724429547787,3050
83423696,0.26879062097584944,3060
83705414,0.26930286101583845,3070
84013193,0.2678007024053441,3080
84286461,0.26882364098925654,3090
84575644,0.2723098677907936,3100
84824027,0.26858512567739534,3110
85117229,0.2670997248651604,3120
85322541,0.26663230943391875,3130
85608023,0.27011419237274487,3140
85872565,0.27188921686247935,3150
86145439,0.27170843330227756,3160
86371118,0.2716353440019846,3170
86659876,0.269879206303506,3180
86906963,0.2727194122359247,3190
87189957,0.2685533129817359,3200
87482593,0.27022161183479876,3210
87742571,0.27090059832191216,3220
88029144,0.26808527614380606,3230
88370629,0.27093211095507275,3240
88623259,0.27068357300340085,3250
88860087,0.2702903577793851,3260
89120819,0.27189847500009984,3270
89436689,0.2704107673062599,3280
89759640,0.269206805428606,3290
90029974,0.26651403982380645,3300
90357261,0.26597300932709256,3310
90613014,0.2688580555017239,3320
90866404,0.27000092387767255,3330
91166275,0.27002830687238,3340
91434783,0.2678420825665261,3350
91749259,0.2690303399491843,3360
92072572,0.26876916463688877,3370
92350425,0.26731497492759043,3380
92607496,0.2681414158199627,3390
92844335,0.26789087742896117,3400
93111748,0.27080714070125483,3410
93390811,0.2695509507284826,3420
93701537,0.2735798608705859,3430
93964889,0.27037632044166815,3440
94215758,0.26418286344851843,3450
94480554,0.26947132785692957,3460
94780230,0.2702719570380205,3470
95018510,0.2638891058453059,3480
95296005,0.2689698955678469,3490
95539058,0.26631605445157713,3500
95782737,0.2686607598925281,3510
96079212,0.2671693316323735,3520
96359854,0.2682730455920123,3530
96635345,0.26490641255137426,3540
96900039,0.26758607691484204,3550
97157541,0.2659986702589981,3560
97443301,0.2646915191637547,3570
97742080,0.26478654534306467,3580
98019892,0.2700308662124172,3590
98277670,0.2674793582477659,3600
98579198,0.26221746516444,3610
98828803,0.26816230670321833,3620
99059605,0.2641401022979465,3630
99392369,0.2666674662337969,3640
99637354,0.2641098301471709,3650
99926467,0.2623502166719764,3660
100192369,0.26721919592542837,3670
100464408,0.2657227167411289,3680
100739101,0.26720799565093256,3690
101006416,0.26527161772122293,3700
101276121,0.26488498291455437,3710
101512866,0.26414571200995907,3720
101781163,0.26582336282385055,3730
102017918,0.26962503175333535,3740
102359776,0.2677128416327004,3750
102603136,0.2643036758156397,3760
102851026,0.2678096961613629,3770
103107411,0.2639897668563249,3780
103333988,0.26240259260522397,3790
103596722,0.2663538974023583,3800
103868122,0.26416840835145006,3810
104126028,0.26154660915056427,3820
104383240,0.2660633899200573,3830
104672887,0.2685873298309954,3840
104905195,0.2623273053225751,3850
105200625,0.2626457189008643,3860
105451096,0.26620084724010984,3870
105706021,0.2655175387674063,3880
106008147,0.2668216740597586,3890
106271702,0.26420143185868855,3900
106561302,0.261130550407213,3910
106817487,0.2676093662045939,3920
107047524,0.2694082165357088,3930
107297232,0.26549217447956214,3940
107573159,0.26617169636333654,3950
107849261,0.2635198083078599,3960
108133181,0.2620799478258992,3970
108380738,0.2635410056409159,3980
108612941,0.2659403242157827,3990
108840953,0.2640182705574655,4000
109154196,0.26392318940622805,4010
109463055,0.26690623844516864,4020
109741951,0.2654599634791497,4030
109991647,0.26459544545567687,4040
110259312,0.26213631265823145,4050
110505659,0.26775531002731956,4060
110761562,0.26488362282429667,4070
111080732,0.26160589181401955,4080
111339839,0.2654188713162248,4090
111626833,0.2699627197727293,4100
111953853,0.26654647128249703,4110
112213852,0.26639997549672656,4120
112464345,0.2658887263397995,4130
112774456,0.2641104205624862,4140
113084304,0.2656830529583876,4150
113365085,0.26367820170781747,4160
113671951,0.26380728854675856,4170
113920092,0.2659336148635701,4180
114188867,0.2627594125493185,4190
114436195,0.26504923808298136,4200
114721356,0.2664228972299009,4210
115024599,0.26366660176147017,4220
115320924,0.264296127239447,4230
115620176,0.26674133611453055,4240
115886029,0.26342544300734416,4250
116105579,0.2644734209177826,4260
116398809,0.26747728489432343,4270
116650073,0.26673272596440467,4280
116905200,0.26129830040958185,4290
117133475,0.26305587253671386,4300
117420589,0.2664129554231609,4310
117695115,0.26268208978968643,4320
117978109,0.26461727207268176,4330
118291069,0.2675545639274237,4340
118563400,0.262807383788532,4350
118840337,0.26331831677125234,4360
119091610,0.26721659971944434,4370
119351843,0.2640888975922636,4380
119631768,0.2656225263239847,4390
119954566,0.2674384871816087,4400
120278126,0.2642344648762427,4410
120504328,0.26571927782291044,4420
120727369,0.2659170990872785,4430
120993280,0.2661948518867437,4440
121244950,0.2631588100598362,4450
121521134,0.26291272289736756,4460
121782846,0.26705471976490874,4470
122042684,0.26336976778404064,4480
122380636,0.2656855191273911,4490
122609214,0.26643073049937044,4500
122930926,0.2623950546013967,4510
123197047,0.26388283650611166,4520
123448697,0.2614540874781479,4530
123739047,0.26343783928029146,4540
124020743,0.26180850401528133,4550
124320424,0.26486990374218483,4560
124575338,0.265886243908711,4570
124869563,0.26401857903466613,4580
125109471,0.264364533405762,4590
125366997,0.2615318600126504,4600
125623909,0.25855452836752,4610
125920992,0.2651051291800066,4620
126196555,0.263907560008992,4630
126451951,0.2629692822791887,4640
126724327,0.25991398389977943,4650
127000649,0.26471580267995204,4660
127309678,0.26179243006534925,4670
127564854,0.2638235264237917,4680
127822429,0.26282911307121015,4690
128099418,0.26105088929037773,4700
128355065,0.26362321952523254,4710
128596341,0.2605437198002308,4720
128880795,0.26179308119651196,4730
129158324,0.2641590007724061,4740
129453173,0.2643833130500627,4750
129730767,0.26182103602829326,4760
130083133,0.26290897137653146,4770
130346227,0.25982445814181987,4780
130667474,0.26308929566349437,4790
130918612,0.2639855755465289,4800
131212464,0.2644097793026417,4810
131463535,0.2623419704053761,4820
131719383,0.26643469899824274,4830
132002778,0.26310775920567087,4840
132325196,0.262669430275762,4850
132580458,0.264749276411423,4860
132857231,0.26533833641492116,4870
133191062,0.25884350079610224,4880
133449215,0.2653341584259429,4890
133731922,0.2632366113286174,4900
133996064,0.26315141947153753,4910
134265750,0.26468238453429965,4920
134550026,0.2616597236134165,4930
134845809,0.26520824501584045,4940
135111375,0.26389079276329835,4950
135391548,0.26276146841766346,4960
135664953,0.26184457120664784,4970
135917015,0.26322896404206136,4980
136194140,0.2633666521821951,4990
136482525,0.2643442179030502,5000
136738948,0.2622343336268485,5010
137058730,0.26511560535457457,5020
137315901,0.26001322666645516,5030
137544369,0.26399463974826215,5040
137757473,0.2607755616038112,5050
137974977,0.26039561013341905,5060
138269062,0.26526934766586524,5070
138550415,0.2614743862824166,5080
138778953,0.2640365512968043,5090
139087098,0.26239936273159487,5100
139389445,0.2623695751544236,5110
139663995,0.26385170628733245,5120
139920851,0.2597581208292609,5130
140192731,0.26226311637533717,5140
140451932,0.26273485977657873,5150
140718936,0.2664387437802243,5160
141003640,0.2625322425889277,5170
141273270,0.261419146472871,5180
141506477,0.2606723242486084,5190
141753687,0.260922664575151,5200
141997576,0.2658424186208706,5210
142258401,0.2641828078632207,5220
142552154,0.26434903720974573,5230
142864501,0.265152996060358,5240
143169190,0.2613960234776856,5250
143407669,0.26039403032551706,5260
143692048,0.2620129758382617,5270
143986443,0.2645170068365673,5280
144328677,0.26579279901096814,5290
144659496,0.26126524241635946,5300
144946304,0.2597869486246242,5310
145165101,0.2623905399391135,5320
145422540,0.2663182913502158,5330
145721674,0.26484206563954527,5340
145964816,0.26045959123393736,5350
146217174,0.2626955591316042,5360
146465485,0.26026968719498134,5370
146751915,0.25883960553788243,5380
147019645,0.2613674526919443,5390
147330846,0.2641326431006612,5400
147564400,0.2635315135068275,5410
147853658,0.2623585732988797,5420
148097887,0.26299026018474214,5430
148358623,0.26239736598155955,5440
148594387,0.2610973938498205,5450
148877343,0.26088017101247346,5460
149139760,0.2573303098656379,5470
149438775,0.2647578515433962,5480
149687729,0.26251824790438033,5490
149934629,0.2612981932549827,5500
150222831,0.260347276695174,5510
